date,max,min,start,close
2018/09,5000,4700,4700,5000
2018/10,5200,4406,4800,5170
2018/11,5299,4850,5170,4995
2018/12,5000,4800,4930,5000
2019/01,5150,5000,5000,5150
2019/02,5169,5000,5000,5100
2019/03,5105,5030,5100,5051
2019/04,5300,5050,5050,5250
2019/05,5455,5225,5250,5250
2019/06,5335,5100,5180,5335
2019/07,5350,5250,5350,5300
2019/08,5301,5299,5300,5300
2019/09,5410,5250,5300,5311
2019/10,5451,5297,5350,5450
2019/11,5500,5300,5300,5500
2019/12,5690,5335,5360,5600
2020/01,5734,5421,5421,5700
2020/02,6000,5600,5700,5600
2020/03,5700,3969,5599,4400
2020/04,5000,4400,4400,5000
2020/05,4999,4450,4999,4550
2020/06,4480,4350,4450,4480
2020/07,4400,4400,4400,4400
2020/08,4300,4000,4300,4000
2020/09,4020,3900,4010,4000
2020/10,3910,3700,3910,3700
2020/11,3700,3600,3700,3700
2020/12,4200,3784,3900,4200
2021/01,4551,4500,4551,4500
2021/02,5050,4490,4498,4600
2021/03,4550,4150,4550,4161
2021/04,4284,4100,4161,4250
2021/05,4690,4366,4501,4660
2021/06,4630,4500,4630,4500
2021/07,4550,4450,4550,4450
2021/08,4600,4449,4475,4600
2021/09,4999,4700,4999,4700
2021/10,4799,4652,4700,4750
2021/11,4800,4652,4800,4700
2021/12,4850,4700,4700,4850
2022/01,4815,4624,4810,4650
2022/02,4900,4700,4705,4700
2022/03,4600,4600,4600,4600
2022/04,4700,4650,4700,4700
2022/05,4702,4650,4701,4650
2022/06,4700,4559,4700,4559
