МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ АД СКОПЈЕ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.10.2007 ДО 31.10.2007 ГОДИНА,,,,,,,,,
Опис на хв,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Oficijalen pazar,,,,,,,,,
Super kotacija - obi~ni akcii,,,,,,,,,
Komercijalna banka Skopje,,,,,7700,,334950000,43500,
Komercijalna banka Skopje,,,,,7700,,274120000,35600,
Komercijalna banka Skopje,,,,,7700,,182490000,23700,
Komercijalna banka Skopje,,,,,7700,,59675000,7750,
Berzanska kotacija - obi~ni akcii,,,,,,,,,
Stopanska banka Bitola,,,,,12149.15,,17579820,1447,
Kiro ]u~uk Veles,,,,,8708,,10005492,1149,
Redoven pazar,,,,,,,,,
Sloboden pazar - obi~ni akcii,,,,,,,,,
Crveni bregovi Negotino,,,,,7255,,154633070,21314,
NAMA Kumanovo,,,,,5500,,20592000,3744,
Javno poseduvani dru{tva - obi~ni akcii,,,,,,,,,
Trgotekstil maloproda`ba Skopje,,,,,167,,14151413,84739,
Sileksbanka Skopje,,,,,2605,,14817240,5688,
